licitacao_id,item_portfolio_id,descricao_portfolio,score,tipo_match
07954480000179202525087_202517370/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,57.50%,MÉDIO
1393703200016020252719_040//2025/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,73.68%,ALTO
1393703200016020252719_040//2025/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,73.68%,ALTO
1393703200016020252719_040//2025/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,73.68%,ALTO
1393703200016020252719_040//2025/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,72.41%,ALTO
1393703200016020252719_040//2025/2025,,AVENTAL DESC. HOSPITALAR EST. 50G PCT C/1,63.16%,MÉDIO
6074731800016220251864_91642/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
6074731800016220251864_91642/2025,,SERINGA 3 ML C/AGULHA LOCK,51.43%,MÉDIO
3378105500013520252277_90179/2025,,METFORMINA 500MG CX/200  CPRS (G),55.88%,MÉDIO
3378105500013520252277_90179/2025,,IBUPROFENO 600MG CX/500 CPRS (G),52.94%,MÉDIO
3378105500013520252277_90179/2025,,DIPIRONA 500MG CX/ 200 CPR (G),52.31%,MÉDIO
3378105500013520252277_90179/2025,,CLOR.DE POTASSIO 10%  10ML CX 200,52.17%,MÉDIO
3378105500013520252277_90179/2025,,SERTRALINA 50 MG CX/500 COMP. (C1) (I) (G),52.05%,MÉDIO
46374500000194202513023_90166/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
1057202200018020251298_90905/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
0039454400018520253147_90131/2025,,ACETILCISTEINA 600MG ENV C/5G C/50 ENV,60.87%,MÉDIO
0039454400018520253147_90131/2025,,ACETILCISTEINA 20MG/ML XPE FR 120ML,57.14%,MÉDIO
0039454400018520253147_90131/2025,,ACETILCISTEINA 20MG XPE 120 ML CX/24,56.00%,MÉDIO
0039454400018520253147_90131/2025,,ACETILCISTEINA 40MG XPE 120 ML CX/24,56.00%,MÉDIO
0039454400018520253147_90131/2025,,ANLODIPINO 10MG C/30 CPR (G),55.56%,MÉDIO
07954480000179202525114_202509726/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202525114_202509726/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
4249860000017120256371_PE 257/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,62.86%,MÉDIO
07954480000179202525116_202515089/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
07954480000179202525116_202515089/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.17%,MÉDIO
4249860000017120256372_PE 258/25/2025,,LAMOTRIGINA 25 MG C/30 CPR (G),66.67%,MÉDIO
4249860000017120256372_PE 258/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4249860000017120256372_PE 258/25/2025,,LAMOTRIGINA 100MG CX C/30CPR *(C1),52.38%,MÉDIO
6302553000010420255457_90098/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
6302553000010420255458_90105/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
124747050001202025463_90453/2025,,PROMETAZINA 25 MG CX/200 COMP,55.00%,MÉDIO
4637450000019420261382_90014/2026,,ACIDO TRANEXAMICO 250MG C/100 AMP 5ML (G),60.71%,MÉDIO
07954480000179202525139_202516494/2025,,AVENTAL DESC. HOSPITALAR EST. 50G PCT C/1,60.24%,MÉDIO
07954480000179202525139_202516494/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,59.26%,MÉDIO
07954480000179202525139_202516494/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,57.50%,MÉDIO
07954480000179202525139_202516494/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,57.50%,MÉDIO
07954480000179202525139_202516494/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,57.50%,MÉDIO
1057202200018020251316_90890/2025,,FRASCO P/NUTRICÃO ENTERAL 300ML,62.22%,MÉDIO
1057202200018020251316_90890/2025,,FRASCO P/NUTRIÇÃO ENTERAL 300ML,62.22%,MÉDIO
1057202200018020251316_90890/2025,,FRASCO P/NUTRIÇÃO ENTERAL 300 ML,60.87%,MÉDIO
07954480000179202525137_202524929/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,54.55%,MÉDIO
449590210001042025551_00094/2025,,ABSORVENTE HOSPITALAR PCT/20 FD 160,54.05%,MÉDIO
449590210001042025551_00094/2025,,CURATIVO DE ESPUMA ABSORV. ESTERIL (I),54.05%,MÉDIO
449590210001042025551_00094/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,53.33%,MÉDIO
449590210001042025551_00094/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,53.33%,MÉDIO
449590210001042025551_00094/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,53.33%,MÉDIO
07954480000179202525145_202518103/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
07954480000179202525145_202518103/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,54.55%,MÉDIO
449373650001122025210_00093/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4637450000019420261414_90012/2026,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
449590210001042025553_00095/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,58.06%,MÉDIO
449590210001042025553_00095/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,58.06%,MÉDIO
449590210001042025553_00095/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,58.06%,MÉDIO
449590210001042025553_00095/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,57.14%,MÉDIO
449590210001042025553_00095/2025,,ABSORVENTE HOSPITALAR PCT/20 FD 160,55.74%,MÉDIO
07954480000179202525166_202508457/2025,,AVENTAL DESC. HOSPITALAR EST. 50G PCT C/1,60.24%,MÉDIO
07954480000179202525166_202508457/2025,,AVENTAL DESC. HOSPITALAR 20 G PCT C/10,59.26%,MÉDIO
07954480000179202525166_202508457/2025,,AVENTAL DESC. HOSPITALAR 30G PCT C/10,57.50%,MÉDIO
07954480000179202525166_202508457/2025,,AVENTAL DESC. HOSPITALAR 40G PCT C/10,57.50%,MÉDIO
07954480000179202525166_202508457/2025,,AVENTAL DESC. HOSPITALAR 50G PCT C/10,57.50%,MÉDIO
079546050001602025780_90284/2025/2025,,FRASCO P/NUTRIÇÃO ENTERAL 300 ML,55.56%,MÉDIO
079546050001602025780_90284/2025/2025,,EQUIPO NUTRI ENTERAL ESCALONADO,53.52%,MÉDIO
079546050001602025780_90284/2025/2025,,FRASCO P/NUTRICÃO ENTERAL 300ML,53.52%,MÉDIO
079546050001602025780_90284/2025/2025,,FRASCO P/NUTRIÇÃO ENTERAL 300ML,53.52%,MÉDIO
07954480000179202525170_202526129/2025,,CREME DERMO PROTETOR 60G RESTAURADOR,55.38%,MÉDIO
